Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=1",,,,,,
1,base_setup,diff,27.12e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=2",,,,,,
2,base_setup,diff,-58.52e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=3",,,,,,
3,base_setup,diff,-68.9e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=4",,,,,,
4,base_setup,diff,-31.98e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=5",,,,,,
5,base_setup,diff,108.9e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=6",,,,,,
6,base_setup,diff,47.18e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=7",,,,,,
7,base_setup,diff,-15.09e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=8",,,,,,
8,base_setup,diff,-110.8e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=9",,,,,,
9,base_setup,diff,-3.051e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=10",,,,,,
10,base_setup,diff,88.44e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=11",,,,,,
11,base_setup,diff,-50.83e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=12",,,,,,
12,base_setup,diff,62.02e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=13",,,,,,
13,base_setup,diff,-35.7e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=14",,,,,,
14,base_setup,diff,46.09e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=15",,,,,,
15,base_setup,diff,-88.98e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=16",,,,,,
16,base_setup,diff,8.474e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=17",,,,,,
17,base_setup,diff,17.75e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=18",,,,,,
18,base_setup,diff,-39.98e-3,,,
