Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Overall Yield Estimate: 100 %(10 passed/10 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-108e-3,,32.77e-3,-875.2e-6,42.33e-3,,0
,diff,100% (10/10),-108e-3,info,32.77e-3,-875.2e-6,42.33e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158.6e-3,,-33.71e-3,-73.04e-3,39.81e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.26e-3,,97.83e-3,70.84e-3,18.39e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.26e-3,,5.535e-3,-1.381e-3,5.414e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),14.64e-3,,222e-3,163.3e-3,60.62e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-155.5e-3,,-29.16e-3,-68.63e-3,40.11e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),161.9e-3,,296.9e-3,234.9e-3,44.72e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.744e-3,,10.77e-3,3.074e-3,5.919e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-315.1e-3,,-123.2e-3,-173.2e-3,61.93e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-365.7e-3,,-191.4e-3,-245.1e-3,56.99e-3,,0
