Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
1,base_setup,diff,18.7e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
2,base_setup,diff,17.43e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
3,base_setup,diff,-33.71e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
4,base_setup,diff,-81.78e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
5,base_setup,diff,56.65e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
6,base_setup,diff,97.83e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=1",,,,,,
7,base_setup,diff,4.293e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=2",,,,,,
8,base_setup,diff,-1.385e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
9,base_setup,diff,182.9e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
10,base_setup,diff,216.5e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
11,base_setup,diff,-29.16e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
12,base_setup,diff,-76.37e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
13,base_setup,diff,220.5e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
14,base_setup,diff,296.9e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=1",,,,,,
15,base_setup,diff,8.79e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=2",,,,,,
16,base_setup,diff,4.196e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
17,base_setup,diff,-181.5e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
18,base_setup,diff,-127.3e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
19,base_setup,diff,-233.8e-3,,,
