,,Parameter,Nominal,,,,,,temp_0,temp_1,temp_2
,,temperature,27,,,,,,-40,25,125

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,temp_0,temp_1,temp_2
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
1,base_setup,diff,27.12e-3,,,,13.82e-3,30.95e-3,30.95e-3,27.27e-3,13.82e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
2,base_setup,diff,90.46e-3,,,,90.25e-3,90.58e-3,90.25e-3,90.46e-3,90.58e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
3,base_setup,diff,-25.17e-3,,,,-30.37e-3,-18.13e-3,-30.37e-3,-25.32e-3,-18.13e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
4,base_setup,diff,22.57e-3,,,,22.37e-3,22.72e-3,22.72e-3,22.62e-3,22.37e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
5,base_setup,diff,-465.5e-6,,,,-8.627e-3,11.17e-3,-8.627e-3,-707.8e-6,11.17e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
6,base_setup,diff,48.08e-3,,,,45.21e-3,52.49e-3,45.21e-3,47.99e-3,52.49e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
7,base_setup,diff,-69.7e-3,,,,-79.81e-3,-57.69e-3,-79.81e-3,-69.97e-3,-57.69e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
8,base_setup,diff,-21.42e-3,,,,-26.22e-3,-16.62e-3,-26.22e-3,-21.54e-3,-16.62e-3
