,,Parameter,Nominal,,,,,,ff_0,ff_1,ff_2,ff_3,ss_0,ss_1,ss_2,ss_3
,,crn28hpcp_1d8_elk_v1d0_2p2_shrink0d9_embedded_usage.scs,globalmc_localmc_mos_moscap,,,,,,ffglobalcorner_localmc_mos_moscap,ffglobalcorner_localmc_mos_moscap,ffglobalcorner_localmc_mos_moscap,ffglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap
,,temperature,27,,,,,,-40,125,-40,125,-40,125,-40,125
,,vdd,1.1,,,,,,1,1,1.2,1.2,1,1,1.2,1.2

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,ff_0,ff_1,ff_2,ff_3,ss_0,ss_1,ss_2,ss_3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,,,,,,
1,base_setup,b0,49.81e-3,,,,-11.04e-3,68.37e-3,55.3e-3,39.06e-3,33.94e-3,-11.04e-3,68.37e-3,48.18e-3,57.47e-3,16.14e-3
1,base_setup,b1,-1.415e-3,,,,-17.09e-3,31.41e-3,-17.09e-3,12.37e-3,-2.017e-3,31.41e-3,-13.48e-3,19.82e-3,-2.217e-3,28.86e-3
1,base_setup,b2,-24.88e-3,,,,-52.93e-3,19.73e-3,-52.93e-3,-9.986e-3,19.73e-3,-16.82e-3,-22.37e-3,-20.3e-3,-19.97e-3,-21.09e-3
1,base_setup,b3,-71.84e-3,,,,-72.98e-3,38.5e-3,-72.98e-3,-38.39e-3,-59.61e-3,38.5e-3,-65.94e-3,-43.76e-3,-70.02e-3,10.2e-3
1,base_setup,b4,9.985e-3,,,,-10.91e-3,26.25e-3,17.8e-3,5.74e-3,-6.116e-3,11.08e-3,-5.354e-3,15.82e-3,-10.91e-3,26.25e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
2,base_setup,b0,35.28e-3,,,,28e-3,44.52e-3,38.65e-3,40.36e-3,28e-3,31.21e-3,43.93e-3,44.52e-3,31.22e-3,33.9e-3
2,base_setup,b1,46.27e-3,,,,35.39e-3,58.6e-3,35.39e-3,37.61e-3,42.1e-3,48.46e-3,49.97e-3,49.92e-3,55.84e-3,58.6e-3
2,base_setup,b2,-119.8e-3,,,,-140.1e-3,-108e-3,-117.2e-3,-114.7e-3,-108e-3,-110.6e-3,-140.1e-3,-133.1e-3,-125e-3,-125.8e-3
2,base_setup,b3,-59.64e-3,,,,-75.12e-3,-47.24e-3,-47.55e-3,-58.05e-3,-47.24e-3,-60.54e-3,-65.77e-3,-73.74e-3,-62.61e-3,-75.12e-3
2,base_setup,b4,18e-3,,,,8.286e-3,29.45e-3,8.286e-3,14.56e-3,16.4e-3,21.37e-3,14.23e-3,22.41e-3,25.39e-3,29.45e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
3,base_setup,b0,-28.56e-3,,,,-33.94e-3,-19.68e-3,-27.22e-3,-19.68e-3,-33.94e-3,-25.53e-3,-27.65e-3,-20e-3,-33.81e-3,-26.04e-3
3,base_setup,b1,4.712e-3,,,,-983.4e-6,10.92e-3,1.604e-3,1.663e-3,10.36e-3,10.92e-3,-983.4e-6,-488.6e-6,7.527e-3,7.577e-3
3,base_setup,b2,28.94e-3,,,,17.83e-3,36.77e-3,34.93e-3,22.28e-3,36.77e-3,21.8e-3,28.25e-3,17.83e-3,34.38e-3,18.8e-3
3,base_setup,b3,92.39e-3,,,,80.01e-3,104.6e-3,95.51e-3,80.01e-3,92.86e-3,81.75e-3,103e-3,89.03e-3,104.6e-3,87.24e-3
3,base_setup,b4,-41.92e-3,,,,-47.49e-3,-33.32e-3,-39e-3,-43.61e-3,-33.32e-3,-44.15e-3,-41.92e-3,-47.49e-3,-38.89e-3,-46.88e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
4,base_setup,b0,8.516e-3,,,,4.24e-3,16.63e-3,12.8e-3,15.63e-3,4.832e-3,6.558e-3,13.74e-3,16.63e-3,4.24e-3,5.806e-3
4,base_setup,b1,9.907e-3,,,,-2.393e-3,23.28e-3,-2.393e-3,6.914e-3,10.44e-3,20.26e-3,3.138e-3,11.3e-3,15.12e-3,23.28e-3
4,base_setup,b2,-76.42e-3,,,,-93.42e-3,-62.12e-3,-69.25e-3,-75.38e-3,-62.12e-3,-72.1e-3,-92.51e-3,-93.42e-3,-78.39e-3,-87.87e-3
4,base_setup,b3,12.42e-3,,,,-4.969e-3,25.03e-3,15.84e-3,-978.8e-6,12.5e-3,-4.969e-3,21.53e-3,8.176e-3,25.03e-3,4.95e-3
4,base_setup,b4,5.402e-3,,,,2.995e-3,10.81e-3,3.178e-3,2.995e-3,8.467e-3,3.7e-3,5.47e-3,5.659e-3,10.81e-3,8.324e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,,,,,,
5,base_setup,b0,-9.237e-3,,,,-17.9e-3,993.5e-6,-8.507e-3,993.5e-6,-17.16e-3,-3.702e-3,-8.053e-3,607.8e-6,-17.9e-3,-4.492e-3
5,base_setup,b1,32.03e-3,,,,26.35e-3,36.97e-3,27.13e-3,26.35e-3,34.2e-3,34.67e-3,27.88e-3,29.32e-3,36.97e-3,36.92e-3
5,base_setup,b2,7.491e-3,,,,-3.319e-3,14.36e-3,13.53e-3,-472.4e-6,14.36e-3,-1.597e-3,9.263e-3,-3.319e-3,13.25e-3,-3.218e-3
5,base_setup,b3,-36.49e-3,,,,-53.81e-3,-17e-3,-26.25e-3,-20.87e-3,-21.33e-3,-17e-3,-53.81e-3,-48.57e-3,-50.38e-3,-46.07e-3
5,base_setup,b4,-38.15e-3,,,,-43e-3,-33.52e-3,-34.85e-3,-40.3e-3,-33.52e-3,-39.04e-3,-37.67e-3,-42.86e-3,-34.2e-3,-43e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
6,base_setup,b0,28.75e-3,,,,20.9e-3,37.8e-3,32.25e-3,37.32e-3,22.84e-3,29.96e-3,33.66e-3,37.8e-3,20.9e-3,28.46e-3
6,base_setup,b1,35.54e-3,,,,22.28e-3,50.35e-3,22.28e-3,29.56e-3,31.66e-3,41.42e-3,30.25e-3,39.22e-3,43.14e-3,50.35e-3
6,base_setup,b2,-97.6e-3,,,,-114.8e-3,-83.26e-3,-90.63e-3,-97.43e-3,-83.26e-3,-94.02e-3,-112.2e-3,-114.8e-3,-99.51e-3,-109.4e-3
6,base_setup,b3,-118.5e-3,,,,-133.7e-3,-103.9e-3,-106.4e-3,-103.9e-3,-105.8e-3,-108.3e-3,-133.7e-3,-129.4e-3,-132e-3,-131.9e-3
6,base_setup,b4,9.332e-3,,,,7.096e-3,15.06e-3,7.454e-3,7.096e-3,8.531e-3,9.136e-3,12.42e-3,11.58e-3,15.06e-3,12.67e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
7,base_setup,b0,-34.95e-3,,,,-43.7e-3,-22.83e-3,-33.45e-3,-22.83e-3,-38.93e-3,-27.11e-3,-37.82e-3,-26.7e-3,-43.7e-3,-31.52e-3
7,base_setup,b1,-7.893e-3,,,,-20.44e-3,2.738e-3,-13.6e-3,-7.681e-3,-1.971e-3,2.738e-3,-20.44e-3,-12.46e-3,-7.694e-3,-2.155e-3
7,base_setup,b2,50.42e-3,,,,34.87e-3,60.58e-3,60.04e-3,39.02e-3,60.58e-3,38.24e-3,56.34e-3,35.65e-3,58.87e-3,34.87e-3
7,base_setup,b3,27.81e-3,,,,25.24e-3,35.78e-3,31.51e-3,28.99e-3,28.7e-3,29.99e-3,35.78e-3,27.49e-3,27.95e-3,25.24e-3
7,base_setup,b4,-51.91e-3,,,,-66.14e-3,-40.29e-3,-40.29e-3,-53.5e-3,-43.46e-3,-59.44e-3,-49.99e-3,-60.58e-3,-48.77e-3,-66.14e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
8,base_setup,b0,1.923e-3,,,,-6.053e-3,12.44e-3,6.338e-3,12.44e-3,-495.7e-6,5.066e-3,3.416e-3,9.841e-3,-6.053e-3,304e-6
8,base_setup,b1,-2.934e-3,,,,-17.76e-3,13.36e-3,-17.76e-3,-2.505e-3,-2.061e-3,12.08e-3,-16.8e-3,-1.035e-3,-655e-6,13.36e-3
8,base_setup,b2,-56.42e-3,,,,-76.51e-3,-40.22e-3,-45.57e-3,-59.83e-3,-40.22e-3,-57.12e-3,-65.52e-3,-76.51e-3,-55.56e-3,-73.02e-3
8,base_setup,b3,-53e-3,,,,-58.26e-3,-45.84e-3,-48.95e-3,-52.7e-3,-53.05e-3,-58.26e-3,-45.84e-3,-53.34e-3,-52.47e-3,-58.18e-3
8,base_setup,b4,-3.877e-3,,,,-10.79e-3,2.247e-3,2.247e-3,-5.95e-3,-1.255e-3,-10.79e-3,-383.3e-6,-6.114e-3,1.298e-3,-9.72e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,,,,,,,,,,,
9,base_setup,b0,24.49e-3,,,,16.05e-3,36.97e-3,24.7e-3,22.96e-3,16.05e-3,18.15e-3,36.97e-3,32.21e-3,27.51e-3,26.98e-3
9,base_setup,b1,35.59e-3,,,,28.37e-3,41.51e-3,34.95e-3,28.37e-3,36.33e-3,33.36e-3,40.42e-3,33.12e-3,41.51e-3,36.12e-3
9,base_setup,b2,-16.86e-3,,,,-23.41e-3,-14.14e-3,-18.23e-3,-19.03e-3,-14.14e-3,-18.62e-3,-23.41e-3,-21.88e-3,-15.4e-3,-18.62e-3
9,base_setup,b3,13.55e-3,,,,233.2e-6,26.14e-3,24.88e-3,17.87e-3,26.14e-3,20.48e-3,8.203e-3,233.2e-6,8.81e-3,734.8e-6
9,base_setup,b4,-6.743e-3,,,,-16.76e-3,5.555e-3,-12.17e-3,-16.76e-3,-7.075e-3,-13.79e-3,-6.143e-3,-7.016e-3,5.555e-3,-3.905e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
10,base_setup,b0,64.11e-3,,,,53.26e-3,79.52e-3,66.88e-3,60.31e-3,58.59e-3,53.26e-3,79.52e-3,70.22e-3,68.73e-3,61.42e-3
10,base_setup,b1,39.32e-3,,,,30.14e-3,49.96e-3,30.14e-3,31.86e-3,34.15e-3,40.56e-3,43.64e-3,43.49e-3,47.87e-3,49.96e-3
10,base_setup,b2,-120.4e-3,,,,-143.1e-3,-109.6e-3,-120.9e-3,-114.8e-3,-109.8e-3,-109.6e-3,-143.1e-3,-132.5e-3,-126.6e-3,-123.7e-3
10,base_setup,b3,-67.05e-3,,,,-83.63e-3,-54.03e-3,-54.03e-3,-64.36e-3,-56.47e-3,-69.4e-3,-72.84e-3,-80.21e-3,-70.63e-3,-83.63e-3
10,base_setup,b4,39.11e-3,,,,28.89e-3,52.76e-3,28.89e-3,29.27e-3,33.99e-3,33.26e-3,43.05e-3,45.65e-3,52.76e-3,49.74e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
11,base_setup,b0,-1.35e-3,,,,-5.926e-3,7.639e-3,-261.3e-6,-807.3e-6,-5.926e-3,-5.277e-3,7.639e-3,4.936e-3,1.471e-3,-267.3e-6
